Q No,Main Domain,Subdomain,Knowledge Dimension,Cognitive Process,Reasoning  Complexity,Clinical Risk,Difficulty,Main Guideline,Universal Task Category
118,Gastroenterology,CF Echogenic Bowel,Factual,Remember,Moderate,Medium,Medium,CF Foundation,3. Diagnosis
119,Hematology,Factor VII Def.,Conceptual,Analyze,High,High,Hard,ISTH Guidelines,3. Diagnosis
120,Cardiology,EKG Axis,Factual,Remember,Low,Low,Medium,AHA Cardiology,3. Diagnosis
121,Pharmacology,Indomethacin Contra.,Procedural,Apply,Moderate,High,Medium,AAP / Nephro,4. Management and Treatment
122,Cardiology,Murmur Local,Factual,Remember,Low,Low,Medium,AHA Cardiology,3. Diagnosis
123,Infectious Dis.,CMV Sequelae,Factual,Remember,Moderate,Medium,Medium,CDC / Red Book,2. Epidemiology and Risk Assessment
124,Gastroenterology,Diarrhea Diff.,Procedural,Understand,Moderate,Medium,Medium,GI Consensus,3. Diagnosis
125,Nephrology,PUV Imaging,Procedural,Apply,Moderate,High,Hard,ESPU Urology,3. Diagnosis
126,Nephrology,CNS Finnish,Factual,Remember,Moderate,Medium,Medium,IPNA Guidelines,1. Physiology and Pathophysiology
127,Cardiology,Pulm Flow (Ebstein),Conceptual,Understand,Moderate,Medium,Medium,AHA Cardiology,1. Physiology and Pathophysiology
